ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
308025.0;Bestaand;Allego;2.0;2022-10-26T04:00:00+02:00;Mecklenburgstraat;"{""coordinates"": [5.469562525859525, 51.434777590170015], ""type"": ""Point""}";51.434777590170015, 5.469562525859525
308029.0;Bestaand;Park n charge;2.0;2022-10-19T04:00:00+02:00;Korenwolfstraat/Wezelstraat;"{""coordinates"": [5.468489630232049, 51.454011001413015], ""type"": ""Point""}";51.454011001413015, 5.468489630232049
308033.0;Bestaand;Allego;2.0;2022-09-20T04:00:00+02:00;Kuiperbergstraat;"{""coordinates"": [5.463823107211836, 51.48264499707446], ""type"": ""Point""}";51.48264499707446, 5.463823107211836
308035.0;Bestaand;Allego;2.0;2022-09-12T04:00:00+02:00;Orleanhof HU 48;"{""coordinates"": [5.448028418386353, 51.48481747186417], ""type"": ""Point""}";51.48481747186417, 5.448028418386353
308227.0;Bestaand;Allego;2.0;2022-06-30T04:00:00+02:00;Bastenakenlaan;"{""coordinates"": [5.4792009232597065, 51.48186064982143], ""type"": ""Point""}";51.48186064982143, 5.4792009232597065
308154.0;Bestaand;Allego;2.0;2022-09-14T04:00:00+02:00;Waterlinie;"{""coordinates"": [5.395006558700695, 51.435319538135964], ""type"": ""Point""}";51.435319538135964, 5.395006558700695
308278.0;Bestaand;E-flux;2.0;2022-09-14T04:00:00+02:00;Waterfront;"{""coordinates"": [5.398804358404294, 51.44174511107842], ""type"": ""Point""}";51.44174511107842, 5.398804358404294
308143.0;Bestaand;Allego;2.0;2022-09-15T04:00:00+02:00;Tivililaan;"{""coordinates"": [5.505769200748886, 51.423652767314266], ""type"": ""Point""}";51.423652767314266, 5.505769200748886
307914.0;Bestaand;EVnetNL;2.0;2022-12-06T02:00:00+01:00;Noord Brabantlaan (P+R);"{""coordinates"": [5.4226026360561645, 51.43519890026432], ""type"": ""Point""}";51.43519890026432, 5.4226026360561645
308036.0;Bestaand;Allego;2.0;2022-09-12T04:00:00+02:00;Scheldestraat, th HU 4c;"{""coordinates"": [5.425265607433037, 51.47706443517742], ""type"": ""Point""}";51.47706443517742, 5.425265607433037
308061.0;Bestaand;Allego;2.0;2022-11-30T02:00:00+01:00;August Sniederslaan;"{""coordinates"": [5.477765638639785, 51.430601190311904], ""type"": ""Point""}";51.430601190311904, 5.477765638639785
308071.0;Bestaand;EVnetNL;2.0;2022-09-12T04:00:00+02:00;Zaanstraat 19, Acht;"{""coordinates"": [5.425637169543503, 51.479551498689986], ""type"": ""Point""}";51.479551498689986, 5.425637169543503
308080.0;Bestaand;Allego;2.0;2022-10-10T04:00:00+02:00;Looierstraat;"{""coordinates"": [5.475717093891887, 51.451324214162774], ""type"": ""Point""}";51.451324214162774, 5.475717093891887
308208.0;Aangevraagde locatie;Park n charge;2.0;2022-04-26T04:00:00+02:00;Nieuwe Fellenoord;"{""coordinates"": [5.472995664202638, 51.44712346671926], ""type"": ""Point""}";51.44712346671926, 5.472995664202638
308093.0;Bestaand;Allego;2.0;2022-10-18T04:00:00+02:00;Achelstraat;"{""coordinates"": [5.476640010358256, 51.48325128259502], ""type"": ""Point""}";51.48325128259502, 5.476640010358256
308131.0;Bestaand;Allego;2.0;2022-10-05T04:00:00+02:00;Atletieklaan;"{""coordinates"": [5.4497169046854, 51.47386284771458], ""type"": ""Point""}";51.47386284771458, 5.4497169046854
308133.0;Bestaand;Allego;2.0;2022-10-31T02:00:00+01:00;Wattstraat;"{""coordinates"": [5.458955316830369, 51.45242043570864], ""type"": ""Point""}";51.45242043570864, 5.458955316830369
308049.0;Bestaand;OPCHARGE;2.0;2022-10-05T04:00:00+02:00;Nicolaistraat;"{""coordinates"": [5.460410539013502, 51.41949076912592], ""type"": ""Point""}";51.41949076912592, 5.460410539013502
